"","unique_group","p.val","r.sq","avg","acro","amplitude","q.val"
"Variable_56.2","A",0.233935908149848,0.0985627672761031,-2.5304328182505,21.4017228618958,0.13843807074974,0.582141350168147
"Variable_56.3","C",0.401289514326406,0.0631381422270823,-2.57609045415322,11.5035852782513,0.0829310998244372,0.728828523317148
"Variable_57.1","B",0.963647766791835,0.00255049630796846,4.02178947382556,17.5459224783352,0.0512141217354422,0.997164476085447
"Variable_57.2","A",0.219948504492312,0.102523822529072,3.85762669474266,22.3423431393536,0.297981147614866,0.564142729079517
"Variable_57.3","C",0.447300475639955,0.055846056481041,3.91698372049206,2.49249172118598,0.146952902086789,0.761712043364816
"Variable_58.1","B",0.212632059359835,0.10126931756212,-0.891411740945145,20.645392616873,0.143186104497795,0.553832340658174
"Variable_58.2","A",0.185364167677876,0.113423679596852,-0.695279908421257,18.6689223531395,0.175428226971038,0.527816613048866
"Variable_58.3","C",0.00578761600149155,0.307884539521328,-0.861372615660615,5.38105121153502,0.295840306837306,0.0810266240208817
"Variable_59.1","B",0.836626010158639,0.0122265804850453,4.22543651017379,12.4265999209263,0.0463180395093094,0.964973090602404
"Variable_59.2","A",0.36327319758149,0.0697748076289374,4.41583067257322,6.60198793692964,0.109317012472094,0.695313150804534
"Variable_59.3","C",0.322858874534947,0.0775783649728491,4.42097392573687,19.0212958345706,0.100929084080832,0.653497480986399
"Variable_60.1","B",0.00248893099326136,0.338675397280232,-3.04122990133812,15.7000040109711,0.898004459654875,0.0501191614898877
"Variable_60.2","A",0.433745801283953,0.0579190226117225,-3.17077432181626,20.0982483999814,0.185138573131388,0.751229841399012
"Variable_60.3","C",0.000916778258592267,0.393237294759435,-2.85987318943554,3.55431250894161,0.594959082540976,0.0220026782062144
"Variable_61.1","B",0.485479773558758,0.0486142758732599,-3.69909653981286,23.0178031693517,0.547914321763904,0.773086274482194
"Variable_61.2","A",0.0360151761487425,0.211336349758048,-3.33518207098299,7.97518418881253,0.599915673911022,0.221888160620806
"Variable_61.3","C",0.652566464828459,0.0300286407935475,-3.01387233320029,0.996778634307393,0.139785466823446,0.876669130207413
"Variable_62.1","B",0.219901084246534,0.0991834212537972,-3.12132272868115,23.6692872796911,0.253732596047901,0.564142729079517
"Variable_62.2","A",0.0346472758387717,0.213514627923272,-2.90804657507621,5.60081852893253,0.194167952325315,0.221300431459934
"Variable_62.3","C",0.13740013812177,0.13218399608882,-2.82165637607828,0.307347833222121,0.150175127833729,0.431462115971167
"Variable_63.1","B",0.576176650562141,0.0373096978873128,-2.05738763535963,0.841355281631927,0.884367027571306,0.826218978426
"Variable_63.2","A",0.0551925768638353,0.186918024548138,-1.36260107250733,21.2606810432251,1.35802506907676,0.285303166557672
"Variable_63.3","C",0.87297144993409,0.00965681537924589,-0.43134858777678,20.5712046938201,0.123626396680035,0.964973090602404
"Variable_64.1","B",0.994730814826309,0.000364286479046156,-3.10939343029269,14.7318367878889,0.0169981453813098,0.997700160542208
"Variable_64.2","A",0.000859630169160215,0.396020413233145,-3.45700008078318,8.61835735150247,0.417856457875112,0.0220026782062144
"Variable_64.3","C",0.696301137804439,0.0255238333668552,-3.2993279222286,20.2351888391849,0.164865530316355,0.905031289188668
"Variable_65.1","B",0.92253934582812,0.00554493205152004,-2.35492559465759,16.8293210199217,0.016278908640081,0.987175860503976
"Variable_65.2","A",0.609203363355513,0.0347809649514703,-2.34144488305251,5.24100712508979,0.0522043337276166,0.840217265218048
"Variable_65.3","C",0.827075003918585,0.0134698792163664,-2.26707681588816,12.1363001229663,0.0286238734792916,0.964973090602404
"Variable_66.1","B",0.396204347188096,0.0618543003315936,-6.76536780933986,1.56317651367916,0.552920633602829,0.725250340438103
"Variable_66.2","A",0.0461092430711257,0.197294414036807,-6.51656542385599,21.7841852011684,0.92373657760436,0.255283859968983
"Variable_66.3","C",0.11852411211438,0.141296295504731,-5.67928829524203,16.5888058231894,0.322037623767279,0.400972286999299
"Variable_67.1","B",0.96636547149941,0.00235674825189602,-5.57930321836261,0.78163557065891,0.309683143405773,0.997164476085447
"Variable_67.2","A",0.00842330921210667,0.289080877813489,-4.18441848099024,20.2685230626178,1.907988177915,0.104823403528439
"Variable_67.3","C",0.872738384533557,0.00967570352325551,-4.31558960741402,1.67965738970886,0.382414911465263,0.964973090602404
"Variable_68.1","B",0.377514585041162,0.0649754449405966,-1.99327872733376,16.1708799547383,0.0586556913008482,0.704740228690448
"Variable_68.2","A",0.251356180675918,0.0939262665955432,-2.04788080482521,9.54435631993858,0.0536405038351917,0.583752471579385
"Variable_68.3","C",0.935991258250842,0.00471379375304581,-2.04566440559377,21.4585476302044,0.0108910145389528,0.994704348420324
"Variable_69.1","B",0.858008440241337,0.0105058953762456,0.560765522409385,7.99827190989728,0.113101130506126,0.964973090602404
"Variable_69.2","A",0.471027925052992,0.0523538781092878,0.283587151035427,7.03704531931584,0.292756017641297,0.770880792493005
"Variable_69.3","C",0.128581397785224,0.136286182641871,0.028618953987267,0.659872427953736,0.586965368838855,0.419449996658593
"Variable_70.1","B",0.457582922661693,0.0524892964306836,-3.73551234461182,11.1969817790009,0.0600956917068725,0.770880792493005
"Variable_70.2","A",0.580320472942071,0.0381238970746221,-3.72690010377277,15.8336967495877,0.055942686863959,0.826218978426
"Variable_70.3","C",0.00560757123768967,0.309445117953764,-3.74987756401783,9.91578816363886,0.12874590660399,0.0810266240208817
"Variable_71.1","B",0.242374797114444,0.0931178387869557,-2.97920614873733,9.09470130472971,0.155210609446209,0.582141350168147
"Variable_71.2","A",0.252675501900939,0.093587390911768,-2.98625001802495,21.0959888680191,0.145467321919509,0.583752471579385
"Variable_71.3","C",0.0929605848525604,0.156068765899386,-3.05478973831069,7.98367517957487,0.115969563197899,0.359020189775406
"Variable_72.1","B",0.0469783362576066,0.190145996890464,-2.97181867522156,20.9288033299614,0.213095869707644,0.255283859968983
"Variable_72.2","A",0.597996596003998,0.0360602092943069,-2.86295770666949,21.2927029895397,0.133325159138151,0.835237994488199
"Variable_72.3","C",0.104037033201531,0.149255519911415,-2.65497405453918,3.10002708958063,0.164676888437034,0.385409328216588
"Variable_73.1","B",0.520743741490515,0.0440023346927958,-3.94262764316932,6.36039843004131,0.157465933642692,0.813813475073548
"Variable_73.2","A",0.0575422057250957,0.184493160892938,-3.82242185178888,10.256186981125,0.362892463756589,0.289426787321201
"Variable_73.3","C",0.43211503631,0.0581724628463522,-4.29119256974213,18.4772506581869,0.126368680959269,0.751229841399012
"Variable_74.1","B",0.919317373599577,0.00578484912687134,-0.560462186489541,12.5492012327725,0.0524434334278959,0.987175860503976
"Variable_74.2","A",0.0140565875258115,0.262595629600963,-0.622744045587658,20.584000562487,0.274306345018975,0.127529913434812
"Variable_74.3","C",0.238058388488845,0.0974372781165275,-0.466894315133097,13.8524610713415,0.094089611749787,0.582141350168147
"Variable_75.1","B",0.821690770047655,0.0134529068240234,-3.55096465656112,16.1287262872894,0.451581138797311,0.964973090602404
"Variable_75.2","A",0.0471059503514195,0.19606729280322,-4.45013817768538,9.44419374187437,1.59298370072898,0.255283859968983
"Variable_75.3","C",0.869011134651604,0.00997840635630453,-4.54990340126629,21.0786475978908,0.289556569049934,0.964973090602404
"Variable_76.1","B",0.480720184079544,0.0492604909446198,-1.20737046399879,0.571300113002014,0.182237807237204,0.770880792493005
