"","Feature","Comparison","Effect","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"1217","Variable_68","B vs C","unique_group:Timepoint_sin",1,0.0159293666045684,0.0159293666045684,0.76371619987581,0.3858351816181
"1218","Variable_68","B vs C","Residuals",57,1.1888891405054,0.0208577042193929,NA,NA
"1219","Variable_68","A vs C","unique_group",1,0.000154161828280456,0.000154161828280456,0.0105779158677659,0.918450241388407
"1220","Variable_68","A vs C","Timepoint_cos",1,0.00804187485002959,0.00804187485002959,0.55179856473913,0.460688597497588
"1221","Variable_68","A vs C","Timepoint_sin",1,0.00511290060391048,0.00511290060391048,0.350825058522423,0.55603056180414
"1222","Variable_68","A vs C","unique_group:Timepoint_cos",1,0.0205108578754699,0.0205108578754699,1.40736608667952,0.240502976759788
"1223","Variable_68","A vs C","unique_group:Timepoint_sin",1,0.0116909126702779,0.0116909126702779,0.802179709614126,0.374276325294403
"1224","Variable_68","A vs C","Residuals",56,0.816140201115898,0.0145739321627839,NA,NA
"1225","Variable_69","B vs A","unique_group",1,1.2499903859293,1.2499903859293,1.63100294791796,0.206742288300801
"1226","Variable_69","B vs A","Timepoint_cos",1,0.130411923761985,0.130411923761985,0.170163094447576,0.681514358321864
"1227","Variable_69","B vs A","Timepoint_sin",1,1.1490627591643,1.1490627591643,1.49931132961987,0.225814029140252
"1228","Variable_69","B vs A","unique_group:Timepoint_cos",1,0.0032322108882517,0.0032322108882517,0.00421742882695196,0.948447620902586
"1229","Variable_69","B vs A","unique_group:Timepoint_sin",1,0.270395443128539,0.270395443128539,0.35281532547017,0.55487390436074
"1230","Variable_69","B vs A","Residuals",57,43.6844409686217,0.76639370120389,NA,NA
"1231","Variable_69","B vs C","unique_group",1,4.43506499269229,4.43506499269229,4.69777377229335,0.0343933315012028
"1232","Variable_69","B vs C","Timepoint_cos",1,2.14788499103967,2.14788499103967,2.27511384690744,0.136988662003518
"1233","Variable_69","B vs C","Timepoint_sin",1,0.290475535446663,0.290475535446663,0.307681703461539,0.581276415666473
"1234","Variable_69","B vs C","unique_group:Timepoint_cos",1,3.21566058234534,3.21566058234534,3.40613857276738,0.0701503647945336
"1235","Variable_69","B vs C","unique_group:Timepoint_sin",1,6.62249753022637e-05,6.62249753022637e-05,7.0147777441451e-05,0.993346699332187
"1236","Variable_69","B vs C","Residuals",57,53.8124475202325,0.944078026670745,NA,NA
"1237","Variable_69","A vs C","unique_group",1,0.960755032775215,0.960755032775215,0.912779182558047,0.343484327667355
"1238","Variable_69","A vs C","Timepoint_cos",1,2.10709709563004,2.10709709563004,2.00187800105921,0.162641197799712
"1239","Variable_69","A vs C","Timepoint_sin",1,1.10159644044461,1.10159644044461,1.04658759425217,0.31069346125811
